iter	Passed	Remaining
0	4	4487
1	7	3526
2	8	2750
3	11	2902
4	15	3051
5	17	2958
6	20	2927
7	23	2930
8	27	2974
9	29	2917
10	32	2917
11	34	2869
12	36	2764
13	38	2746
14	41	2717
15	44	2744
16	46	2702
17	49	2691
18	52	2708
19	55	2728
20	59	2760
21	62	2779
22	65	2774
23	67	2760
24	71	2772
25	73	2753
26	75	2722
27	77	2677
28	80	2687
29	82	2672
30	85	2673
31	87	2657
32	90	2658
33	94	2674
34	97	2688
35	100	2680
36	103	2681
37	105	2679
38	108	2685
39	111	2686
40	114	2672
41	116	2661
42	119	2663
43	122	2658
44	124	2650
45	127	2644
46	130	2646
47	133	2647
48	136	2643
49	139	2653
50	142	2654
51	145	2647
52	148	2652
53	151	2645
54	154	2650
55	156	2644
56	159	2636
57	161	2625
58	164	2616
59	166	2602
60	169	2602
61	172	2605
62	173	2587
63	177	2588
64	179	2580
65	181	2568
66	183	2560
67	186	2555
68	189	2556
69	191	2549
70	194	2549
71	197	2549
72	201	2560
73	203	2552
74	206	2551
75	210	2556
76	213	2555
77	216	2557
78	220	2568
79	222	2564
80	226	2566
81	229	2569
82	232	2569
83	235	2570
84	238	2569
85	241	2565
86	242	2548
87	246	2553
88	249	2550
89	252	2551
90	255	2556
91	259	2559
92	262	2561
93	265	2562
94	268	2553
95	270	2548
96	274	2551
97	277	2554
98	280	2551
99	283	2550
100	285	2541
101	287	2532
102	290	2533
103	294	2538
104	298	2540
105	300	2531
106	302	2527
107	305	2522
108	308	2525
109	312	2528
110	316	2535
111	318	2527
112	322	2533
113	326	2535
114	328	2531
115	331	2525
116	334	2527
117	338	2530
118	342	2534
119	346	2538
120	349	2538
121	352	2539
122	356	2539
123	359	2541
124	362	2538
125	366	2539
126	369	2540
127	373	2542
128	375	2535
129	378	2532
130	382	2535
131	385	2536
132	389	2539
133	393	2540
134	396	2543
135	400	2542
136	402	2538
137	406	2540
138	409	2539
139	413	2539
140	416	2538
141	419	2535
142	422	2532
143	423	2520
144	427	2518
145	429	2510
146	432	2509
147	434	2499
148	437	2499
149	440	2498
150	443	2495
151	447	2495
152	450	2496
153	455	2500
154	458	2500
155	462	2500
156	465	2501
157	469	2503
158	472	2500
159	476	2500
160	480	2502
161	483	2501
162	485	2493
163	488	2492
164	492	2492
165	496	2492
166	499	2493
167	503	2494
168	507	2493
169	510	2494
170	513	2489
171	516	2486
172	518	2480
173	522	2480
174	526	2481
175	529	2480
176	533	2480
177	537	2480
178	539	2476
179	543	2477
180	547	2477
181	549	2468
182	552	2467
183	555	2465
184	559	2465
185	563	2465
186	568	2470
187	573	2475
188	577	2477
189	582	2483
190	587	2487
191	593	2496
192	595	2491
193	601	2497
194	606	2505
195	611	2510
196	616	2513
197	621	2517
198	626	2522
199	631	2527
200	636	2530
201	641	2533
202	646	2537
203	650	2539
204	655	2541
205	660	2544
206	665	2548
207	670	2551
208	674	2554
209	679	2555
210	684	2557
211	688	2558
212	693	2560
213	699	2568
214	705	2574
215	710	2577
216	715	2580
217	719	2582
218	724	2584
219	728	2584
220	734	2587
221	738	2588
222	743	2589
223	748	2592
224	753	2594
225	757	2595
226	763	2599
